INSTANCE,VCPU,RAM,HOURLY ON DEMAND
D48 v4,48,192.0,2.688
D64 v4,64,256.0,3.584
D2s v4,2,8.0,0.112
D4s v4,4,16.0,0.224
D8s v4,8,32.0,0.448
D16s v4,16,64.0,0.896
D32s v4,32,128.0,1.792
D48s v4,48,192.0,2.688
D64s v4,64,256.0,3.584
D2 v3,2,8.0,0.117
D4 v3,4,16.0,0.234
D8 v3,8,32.0,0.468
D16 v3,16,64.0,0.936
D32 v3,32,128.0,1.872
D48 v3,48,192.0,2.808
D64 v3,64,256.0,3.744
D2s v3,2,8.0,0.117
D4s v3,4,16.0,0.234
D8s v3,8,32.0,0.468
D16s v3,16,64.0,0.936
D32s v3,32,128.0,1.872
D48s v3,48,192.0,2.808
D64s v3,64,256.0,3.744
DC1s v3,1,8.0,0.112
DC2s v3,2,16.0,0.224
DC4s v3,4,32.0,0.448
DC8s v3,8,64.0,0.896
DC16s v3,16,128.0,1.792
DC24s v3,24,192.0,2.688
DC32s v3,32,256.0,3.584
DC48s v3,48,384.0,5.376
DC1ds v3,1,8.0,0.133
DC2ds v3,2,16.0,0.266
DC4ds v3,4,32.0,0.532
DC8ds v3,8,64.0,1.064
DC16ds v3,16,128.0,2.128
DC24ds v3,24,192.0,3.192
DC32ds v3,32,256.0,4.256
DC48ds v3,48,384.0,6.384
D1 v2,1,3.5,0.07
D2 v2,2,7.0,0.14
D3 v2,4,14.0,0.279
D4 v2,8,28.0,0.559
D5 v2,16,56.0,1.117
DS1 v2,1,3.5,0.07
DS2 v2,2,7.0,0.14
DS3 v2,4,14.0,0.279
DS4 v2,8,28.0,0.559
DS5 v2,16,56.0,1.117
DC1s v2,1,4.0,0.112
DC2s v2,2,8.0,0.224
DC4s v2,4,16.0,0.448
DC8 v2,8,32.0,0.896
F2s v2,2,4.0,0.106
F4s v2,4,8.0,0.212
F8s v2,8,16.0,0.424
F16s v2,16,32.0,0.848
F32s v2,32,64.0,1.696
F48s v2,48,96.0,2.544
F64s v2,64,128.0,3.392
F72s v2,72,144.0,3.816
F1,1,2.0,0.062
F2,2,4.0,0.124
F4,4,8.0,0.249
F8,8,16.0,0.498
F16,16,32.0,0.996
F1s,1,2.0,0.062
F2s,2,4.0,0.124
F4s,4,8.0,0.249
F8s,8,16.0,0.498
F16s,16,32.0,0.996
E2as v5,2,16.0,0.126
E4as v5,4,32.0,0.252
E8as v5,8,64.0,0.504
E16as v5,16,128.0,1.008
E20as v5,20,160.0,1.26
E32as v5,32,256.0,2.016
E48as v5,48,384.0,3.024
E64as v5,64,512.0,4.032
E96as v5,96,672.0,6.048
E2ads v5,2,16.0,0.148
E4ads v5,4,32.0,0.296
E8ads v5,8,64.0,0.592
E16ads v5,16,128.0,1.184
E20ads v5,20,160.0,1.48
E32ads v5,32,256.0,2.368
E48ads v5,48,384.0,3.552
E64ads v5,64,512.0,4.736
E96ads v5,96,672.0,7.104
E2a v4,2,16.0,0.14
E4a v4,4,32.0,0.28
E8a v4,8,64.0,0.56
E16a v4,16,128.0,1.12
E20a v4,20,160.0,1.4
E32a v4,32,256.0,2.24
E48a v4,48,384.0,3.36
E64a v4,64,512.0,4.48
E96a v4,96,672.0,6.72
E2as v4,2,16.0,0.14
E4as v4,4,32.0,0.28
E8as v4,8,64.0,0.56
E16as v4,16,128.0,1.12
E20as v4,20,160.0,1.4
E32as v4,32,256.0,2.24
E48as v4,48,384.0,3.36
E64as v4,64,512.0,4.48
E96as v4,96,672.0,6.72
E2ps v5,2,16.0,0.112
E4ps v5,4,32.0,0.224
E8ps v5,8,64.0,0.448
E16ps v5,16,128.0,0.896
E20ps v5,20,160.0,1.12
E32ps v5,32,208.0,1.792
E2pds v5,2,16.0,0.13
E4pds v5,4,32.0,0.26
E8pds v5,8,64.0,0.52
E16pds v5,16,128.0,1.04
E20pds v5,20,160.0,1.3
E32pds v5,32,208.0,2.08
E2d v5,2,16.0,0.162
E4d v5,4,32.0,0.324
E8d v5,8,64.0,0.648
E16d v5,16,128.0,1.296
E20d v5,20,160.0,1.62
E32d v5,32,256.0,2.592
E48d v5,48,384.0,3.888
E64d v5,64,512.0,5.184
E96d v5,96,672.0,7.776
E104id v5,104,672.0,9.266
E2ds v5,2,16.0,0.162
E4ds v5,4,32.0,0.324
E8ds v5,8,64.0,0.648
E16ds v5,16,128.0,1.296
E20ds v5,20,160.0,1.62
E32ds v5,32,256.0,2.592
E48ds v5,48,384.0,3.888
E64ds v5,64,512.0,5.184
E96ds v5,96,672.0,7.776
E104ids v5,104,672.0,9.266
E2 v5,2,16.0,0.14
E4 v5,4,32.0,0.28
E8 v5,8,64.0,0.56
E16 v5,16,128.0,1.12
E20 v5,20,160.0,1.4
E32 v5,32,256.0,2.24
E48 v5,48,384.0,3.36
E64 v5,64,512.0,4.48
E96 v5,96,672.0,6.72
E104i v5,104,672.0,8.008
E2s v5,2,16.0,0.14
E4s v5,4,32.0,0.28
E8s v5,8,64.0,0.56
E16s v5,16,128.0,1.12
E20s v5,20,160.0,1.4
E32s v5,32,256.0,2.24
E48s v5,48,384.0,3.36
E64s v5,64,512.0,4.48
E96s v5,96,672.0,6.72
E104is v5,104,672.0,8.008
E2bds v5,2,16.0,0.189
E4bds v5,4,32.0,0.378
E8bds v5,8,64.0,0.756
E16bds v5,16,128.0,1.512
E32bds v5,32,256.0,3.024
E48bds v5,48,384.0,4.536
E64bds v5,64,512.0,6.048
E96bds v5,96,672.0,9.072
E112ibds v5,112,672.0,11.642
E2bs v5,2,16.0,0.167
E4bs v5,4,32.0,0.334
E8bs v5,8,64.0,0.668
E16bs v5,16,128.0,1.336
E32bs v5,32,256.0,2.672
E48bs v5,48,384.0,4.008
E64bs v5,64,512.0,5.344
E96bs v5,96,672.0,8.016
E112ibs v5,112,672.0,10.287
E2d v4,2,16.0,0.162
E4d v4,4,32.0,0.324
E8d v4,8,64.0,0.648
E16d v4,16,128.0,1.296
E20d v4,20,160.0,1.62
E32d v4,32,256.0,2.592
E48d v4,48,384.0,3.888
E64d v4,64,504.0,5.184
E2ds v4,2,16.0,0.162
E4ds v4,4,32.0,0.324
E8ds v4,8,64.0,0.648
E16ds v4,16,128.0,1.296
E20ds v4,20,160.0,1.62
E32ds v4,32,256.0,2.592
E48ds v4,48,384.0,3.888
E64ds v4,64,504.0,5.184
E80ids v4,80,504.0,6.48
EC2ads v5,2,16.0,0.148
EC4ads v5,4,32.0,0.296
EC8ads v5,8,64.0,0.592
EC16ads v5,16,128.0,1.184
EC20ads v5,20,160.0,1.48
