INSTANCE,VCPU,RAM,HOURLY ON DEMAND
r5.metal,96,768.0,6.0480 
r5.24xlarge,96,768.0,6.0480 
r6i.24xlarge,96,768.0,6.0480 
m6i.32xlarge,128,512.0,6.1440 
m6i.metal,128,512.0,6.1440 
r6idn.16xlarge,64,512.0,6.2525 
r5ad.24xlarge,96,768.0,6.2880 
d3en.12xlarge,48,192.0,6.3086 
r7i.metal-24xl,96,768.0,6.3504 
r7i.24xlarge,96,768.0,6.3504 
c6id.32xlarge,128,256.0,6.4512 
c6id.metal,128,256.0,6.4512 
inf2.24xlarge,96,384.0,6.4906 
m5dn.24xlarge,96,384.0,6.5280 
m5dn.metal,96,384.0,6.5280 
c7a.32xlarge,128,256.0,6.5690 
x1.16xlarge,64,976.0,6.6690 
x2iedn.8xlarge,32,1024.0,6.6690 
x2idn.16xlarge,64,1024.0,6.6690 
x1e.8xlarge,32,976.0,6.6720 
x2iezn.8xlarge,32,1024.0,6.6720 
m6in.24xlarge,96,384.0,6.6830 
i2.8xlarge,32,244.0,6.8200 
r5d.24xlarge,96,768.0,6.9120 
r5d.metal,96,768.0,6.9120 
r5n.24xlarge,96,768.0,7.1520 
r5b.24xlarge,96,768.0,7.1520 
r5n.metal,96,768.0,7.1520 
r5b.metal,96,768.0,7.1520 
p2.8xlarge,32,488.0,7.2000 
r6id.24xlarge,96,768.0,7.2576 
c6in.32xlarge,128,256.0,7.2576 
r6a.32xlarge,128,1024.0,7.2576 
c6in.metal,128,256.0,7.2576 
r7a.24xlarge,96,768.0,7.3032 
c6a.48xlarge,192,384.0,7.3440 
c6a.metal,192,384.0,7.3440 
m7a.32xlarge,128,512.0,7.4189 
m6id.32xlarge,128,512.0,7.5936 
m6id.metal,128,512.0,7.5936 
m6idn.24xlarge,96,384.0,7.6378 
g4dn.metal,96,384.0,7.8240 
r5dn.metal,96,768.0,8.0160 
r5dn.24xlarge,96,768.0,8.0160 
r6i.metal,128,1024.0,8.0640 
r6i.32xlarge,128,1024.0,8.0640 
g5.24xlarge,96,384.0,8.1440 
i4i.24xlarge,96,768.0,8.2368 
m6a.48xlarge,192,768.0,8.2944 
m6a.metal,192,768.0,8.2944 
r6in.24xlarge,96,768.0,8.3678 
c7i.48xlarge,192,384.0,8.5680 
c7i.metal-48xl,192,384.0,8.5680 
m6in.32xlarge,128,512.0,8.9107 
m6in.metal,128,512.0,8.9107 
r6idn.24xlarge,96,768.0,9.3787 
m7i.metal-48xl,192,768.0,9.6768 
r6id.32xlarge,128,1024.0,9.6768 
r6id.metal,128,1024.0,9.6768 
m7i.48xlarge,192,768.0,9.6768 
r7a.32xlarge,128,1024.0,9.7376 
c7a.metal-48xl,192,384.0,9.8534 
c7a.48xlarge,192,384.0,9.8534 
x2idn.24xlarge,96,1536.0,10.0035 
x2iezn.12xlarge,48,1536.0,10.0080 
x2iezn.metal,48,1536.0,10.0080 
m6idn.32xlarge,128,512.0,10.1837 
m6idn.metal,128,512.0,10.1837 
i3en.metal,96,768.0,10.8480 
i3en.24xlarge,96,768.0,10.8480 
r6a.48xlarge,192,1536.0,10.8864 
r6a.metal,192,1536.0,10.8864 
i4i.metal,128,1024.0,10.9820 
i4i.32xlarge,128,1024.0,10.9824 
m7a.metal-48xl,192,768.0,11.1283 
m7a.48xlarge,192,768.0,11.1283 
r6in.32xlarge,128,1024.0,11.1571 
r6in.metal,128,1024.0,11.1571 
r7iz.metal-32xl,128,1024.0,11.9040 
r7iz.32xlarge,128,1024.0,11.9040 
p3.8xlarge,32,244.0,12.2400 
r6idn.32xlarge,128,1024.0,12.5050 
r6idn.metal,128,1024.0,12.5050 
r7i.48xlarge,192,1536.0,12.7008 
r7i.metal-48xl,192,1536.0,12.7008 
inf2.48xlarge,192,768.0,12.9813 
dl1.24xlarge,96,768.0,13.1090 
f1.16xlarge,64,976.0,13.2000 
x2idn.32xlarge,128,2048.0,13.3380 
x1.32xlarge,128,1952.0,13.3380 
x2iedn.16xlarge,64,2048.0,13.3380 
x2idn.metal,128,2048.0,13.3380 
x1e.16xlarge,64,1952.0,13.3440 
p2.16xlarge,64,732.0,14.4000 
r7a.48xlarge,192,1536.0,14.6064 
r7a.metal-48xl,192,1536.0,14.6064 
g5.48xlarge,192,768.0,16.2880 
x2iedn.24xlarge,96,3072.0,20.0070 
trn1.32xlarge,128,512.0,21.5000 
p3.16xlarge,64,488.0,24.4800 
trn1n.32xlarge,128,512.0,24.7800 
x2iedn.32xlarge,128,4096.0,26.6760 
x2iedn.metal,128,4096.0,26.6760 
x1e.32xlarge,128,3904.0,26.6880 
u-3tb1.56xlarge,224,3072.0,27.3000 
p3dn.24xlarge,96,768.0,31.2120 
p4d.24xlarge,96,1152.0,32.7726 
p4de.24xlarge,96,1152.0,40.9657 
u-6tb1.56xlarge,224,6144.0,46.4039 
u-6tb1.112xlarge,448,6144.0,54.6000 
u-9tb1.112xlarge,448,9216.0,81.9000 
p5.48xlarge,192,2048.0,98.3200 
u-12tb1.112xlarge,448,12288.0,109.2000 
u-18tb1.112xlarge,448,18432.0,163.8000 
u-24tb1.112xlarge,448,24576.0,218.4000 
