INSTANCE,VCPU,RAM,HOURLY ON DEMAND
r5ad.xlarge,4,32.0,0.2620 
r7i.xlarge,4,32.0,0.2646 
m3.xlarge,4,15.0,0.2660 
r4.xlarge,4,30.5,0.2660 
t4g.2xlarge,8,32.0,0.2688 
m5dn.xlarge,4,16.0,0.2720 
c6g.2xlarge,8,16.0,0.2720 
r7gd.xlarge,4,32.0,0.2722 
m6in.xlarge,4,16.0,0.2785 
r5d.xlarge,4,32.0,0.2880 
is4gen.large,2,12.0,0.2882 
c7g.2xlarge,8,16.0,0.2900 
r5b.xlarge,4,32.0,0.2980 
r5n.xlarge,4,32.0,0.2980 
t3a.2xlarge,8,32.0,0.3008 
r6id.xlarge,4,32.0,0.3024 
r7a.xlarge,4,32.0,0.3043 
c6a.2xlarge,8,16.0,0.3060 
c6gd.2xlarge,8,16.0,0.3072 
m6g.2xlarge,8,32.0,0.3080 
c5a.2xlarge,8,16.0,0.3080 
i4g.xlarge,4,32.0,0.3089 
i3.xlarge,4,30.5,0.3120 
m6idn.xlarge,4,16.0,0.3182 
m7g.2xlarge,8,32.0,0.3264 
m5zn.xlarge,4,16.0,0.3303 
t3.2xlarge,8,32.0,0.3328 
r3.xlarge,4,30.5,0.3330 
r5dn.xlarge,4,32.0,0.3340 
x2gd.xlarge,4,64.0,0.3340 
c6i.2xlarge,8,16.0,0.3400 
c5.2xlarge,8,16.0,0.3400 
i4i.xlarge,4,32.0,0.3430 
m5a.2xlarge,8,32.0,0.3440 
c5ad.2xlarge,8,16.0,0.3440 
c6gn.2xlarge,8,16.0,0.3456 
m6a.2xlarge,8,32.0,0.3456 
r6in.xlarge,4,32.0,0.3487 
m1.xlarge,4,15.0,0.3500 
c7i.2xlarge,8,16.0,0.3570 
m6gd.2xlarge,8,32.0,0.3616 
inf1.2xlarge,8,16.0,0.3620 
c7gd.2xlarge,8,16.0,0.3629 
im4gn.xlarge,4,16.0,0.3638 
t2.2xlarge,8,32.0,0.3712 
r7iz.xlarge,4,32.0,0.3720 
z1d.xlarge,4,32.0,0.3720 
g4ad.xlarge,4,16.0,0.3785 
m7i-flex.2xlarge,8,32.0,0.3830 
c5d.2xlarge,8,16.0,0.3840 
m5.2xlarge,8,32.0,0.3840 
m6i.2xlarge,8,32.0,0.3840 
r6idn.xlarge,4,32.0,0.3908 
c4.2xlarge,8,15.0,0.3980 
m4.2xlarge,8,32.0,0.4000 
c6id.2xlarge,8,16.0,0.4032 
r6g.2xlarge,8,64.0,0.4032 
m7i.2xlarge,8,32.0,0.4032 
a1.metal,16,32.0,0.4080 
a1.4xlarge,16,32.0,0.4080 
c7a.2xlarge,8,16.0,0.4106 
m5ad.2xlarge,8,32.0,0.4120 
c3.2xlarge,8,15.0,0.4200 
g5g.xlarge,4,8.0,0.4200 
m7gd.2xlarge,8,32.0,0.4271 
r7g.2xlarge,8,64.0,0.4284 
c5n.2xlarge,8,21.0,0.4320 
i3en.xlarge,4,32.0,0.4520 
m5d.2xlarge,8,32.0,0.4520 
r5a.2xlarge,8,64.0,0.4520 
c6in.2xlarge,8,16.0,0.4536 
r6a.2xlarge,8,64.0,0.4536 
r6gd.2xlarge,8,64.0,0.4608 
m7a.2xlarge,8,32.0,0.4637 
h1.2xlarge,8,32.0,0.4680 
m6id.2xlarge,8,32.0,0.4746 
m5n.2xlarge,8,32.0,0.4760 
m2.2xlarge,4,34.2,0.4900 
d3.xlarge,4,32.0,0.4990 
c7gn.2xlarge,8,16.0,0.4992 
r5.2xlarge,8,64.0,0.5040 
